city,city_ascii,state_id,state_name,county_name,lat,lng
Clearwater,Clearwater,MN,Minnesota,Wright,45.4102,-94.0447
Fort Valley,Fort Valley,AZ,Arizona,Coconino,35.3228,-111.7399
Reidville,Reidville,SC,South Carolina,Spartanburg,34.8657,-82.1063
Fort Deposit,Fort Deposit,AL,Alabama,Lowndes,31.9863,-86.5664
Ritzville,Ritzville,WA,Washington,Adams,47.1253,-118.3809
Nisswa,Nisswa,MN,Minnesota,Crow Wing,46.5003,-94.2977
Gouldtown,Gouldtown,NJ,New Jersey,Cumberland,39.4152,-75.1912
Village of Four Seasons,Village of Four Seasons,MO,Missouri,Camden,38.1974,-92.7179
La Alianza,La Alianza,PR,Puerto Rico,Arecibo,18.395,-66.5975
Remsenburg-Speonk,Remsenburg-Speonk,NY,New York,Suffolk,40.8158,-72.7064
Oriole Beach,Oriole Beach,FL,Florida,Santa Rosa,30.367,-87.0955
Lamar,Lamar,AR,Arkansas,Johnson,35.4436,-93.3951
Vonore,Vonore,TN,Tennessee,Monroe,35.5977,-84.2364
Sophia,Sophia,WV,West Virginia,Raleigh,37.7117,-81.2525
Clarendon,Clarendon,TX,Texas,Donley,34.9366,-100.8918
Sylvan Lake,Sylvan Lake,MI,Michigan,Oakland,42.6172,-83.3331
Estell Manor,Estell Manor,NJ,New Jersey,Atlantic,39.3587,-74.7752
Chester Center,Chester Center,CT,Connecticut,Lower Connecticut River Valley,41.4018,-72.4578
New Union,New Union,TN,Tennessee,Coffee,35.534,-86.0832
Cranford,Cranford,NJ,New Jersey,Union,40.6548,-74.3053
Berry College,Berry College,GA,Georgia,Floyd,34.2911,-85.1878
Navesink,Navesink,NJ,New Jersey,Monmouth,40.402,-74.0387
Ridgely,Ridgely,MD,Maryland,Caroline,38.9528,-75.8828
Stuart,Stuart,IA,Iowa,Adair,41.5004,-94.3182
Barview,Barview,OR,Oregon,Coos,43.347,-124.3073
Kingston,Kingston,OK,Oklahoma,Marshall,34.0004,-96.7062
North Liberty,North Liberty,IN,Indiana,St. Joseph,41.5324,-86.428
Stony Prairie,Stony Prairie,OH,Ohio,Sandusky,41.3522,-83.1519
Freeport,Freeport,PA,Pennsylvania,Armstrong,40.6829,-79.6837
Duluth,Duluth,WA,Washington,Clark,45.7838,-122.647
Río Lajas,Rio Lajas,PR,Puerto Rico,Dorado,18.397,-66.2643
St. Francisville,St. Francisville,LA,Louisiana,West Feliciana,30.7852,-91.3788
Edgewood,Edgewood,TX,Texas,Van Zandt,32.6943,-95.8833
Pleasanton,Pleasanton,KS,Kansas,Linn,38.179,-94.7053
Fisher,Fisher,IL,Illinois,Champaign,40.3157,-88.3503
Dunstan,Dunstan,ME,Maine,Cumberland,43.5691,-70.3884
Winfield,Winfield,MO,Missouri,Lincoln,38.9928,-90.7456
Worthington,Worthington,KY,Kentucky,Greenup,38.5509,-82.7348
Richland,Richland,PA,Pennsylvania,Lebanon,40.3574,-76.2569
Osseo,Osseo,WI,Wisconsin,Trempealeau,44.5795,-91.212
Lockney,Lockney,TX,Texas,Floyd,34.123,-101.4424
New Oxford,New Oxford,PA,Pennsylvania,Adams,39.863,-77.0554
Manito,Manito,IL,Illinois,Mason,40.4201,-89.7806
West Sharyland,West Sharyland,TX,Texas,Hidalgo,26.2719,-98.3404
Manson,Manson,IA,Iowa,Calhoun,42.5287,-94.54
Gower,Gower,MO,Missouri,Clinton,39.6129,-94.5947
Taylorsville,Taylorsville,KY,Kentucky,Spencer,38.0368,-85.3333
Manasota Key,Manasota Key,FL,Florida,Charlotte,26.9226,-82.3537
Kaibito,Kaibito,AZ,Arizona,Coconino,36.592,-111.1071
Ferrum,Ferrum,VA,Virginia,Franklin,36.9314,-80.0148
Langdon,Langdon,ND,North Dakota,Cavalier,48.7624,-98.3747
Chenoweth,Chenoweth,OR,Oregon,Wasco,45.6206,-121.2363
Flying Hills,Flying Hills,PA,Pennsylvania,Berks,40.2787,-75.9164
Cross Roads,Cross Roads,TX,Texas,Denton,33.2291,-96.9985
Dundas,Dundas,MN,Minnesota,Rice,44.4276,-93.2039
Keeler Farm,Keeler Farm,NM,New Mexico,Luna,32.3161,-107.7602
Searles Valley,Searles Valley,CA,California,San Bernardino,35.77,-117.3967
Saratoga,Saratoga,WY,Wyoming,Carbon,41.4517,-106.8107
